Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
12,Nova Scotia,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  65 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,    85 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
13,New Brunswick,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
